game_id,player_id,team_id,opponent_team_id,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,seconds_per_touch,dribbles_per_touch,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def,avg_speed,avg_speed_off,avg_speed_def
0022300003,1629673,1610612764,1610612748,28.42,59,59,10,3,6,0,0,6,2,1,1,0,32,40,6,1,1,8,7,13,4,0,0,0,51,28,3.2,3.79,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,10598,2.01,1.14,0.87,4.0,4.31,3.66
0022300004,1628372,1610612751,1610612741,16.45,33,32,4,1,3,0,0,2,1,0,0,0,13,20,1,0,0,2,1,2,1,0,0,0,24,14,1.4,3.45,3.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,2,1,6568,1.24,0.68,0.57,4.15,4.59,4.4
0022300006,1630192,1610612743,1610612742,11.58,24,23,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,2,13,5,0.4,1.64,0.54,1,1,1,0,0,2,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,3,1,2,4,0,4832,0.92,0.53,0.39,4.25,4.4,4.07
0022300007,203924,1610612757,1610612763,43.73,88,87,12,2,9,1,2,5,1,0,1,1,35,48,3,0,0,6,3,7,0,1,1,3,66,41,3.3,3.04,1.92,5,1,2,1,2,4,2,1,0,1,5,1,3,1,2,3,1,1,0,1,2,0,1,0,0,0,1,0,0,0,2,2,0,5,0,6,2,4,10,2,16389,3.1,1.59,1.52,3.96,4.19,3.76
0022300010,1627827,1610612751,1610612738,27.48,51,53,2,0,1,0,0,0,1,0,0,0,30,28,2,0,1,5,3,6,0,1,1,3,36,28,0.9,1.54,0.58,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,1,1,0,3,1,10166,1.93,1.07,0.86,3.85,4.19,3.89
0022300011,1629627,1610612740,1610612745,33.62,68,70,22,5,12,2,4,13,5,0,1,2,34,41,1,1,0,6,2,5,0,1,0,2,61,34,4.1,4.01,3.39,2,1,1,0,0,2,0,0,1,0,3,2,2,2,2,6,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,1,5,1,6,1,5,9,0,13396,2.54,1.4,1.14,3.75,4.21,3.31
0022300016,203458,1610612758,1610612760,9.67,20,20,0,0,0,0,0,0,0,0,0,0,21,13,0,0,0,2,0,0,0,2,1,2,25,15,0.5,1.3,0.4,2,0,0,1,2,1,1,0,0,1,5,1,1,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,1,0,3,3,0,4,0,3,1,2,4,0,3839,0.73,0.42,0.31,3.93,4.02,3.82
0022300016,1631119,1610612760,1610612758,18.4,34,33,1,0,0,1,2,1,0,0,0,1,30,17,2,1,0,6,3,6,1,0,1,4,33,17,0.9,1.6,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,3,7,0,7137,1.35,0.69,0.66,4.27,4.46,4.09
0022300019,203496,1610612755,1610612754,16.27,38,39,1,1,1,0,0,2,0,0,0,0,10,10,1,0,0,0,1,2,0,1,0,0,13,7,0.3,1.43,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,2,1,7091,1.34,0.7,0.64,4.47,4.54,4.38
0022300020,1628372,1610612751,1610612753,18.92,39,40,5,2,4,0,0,4,0,0,1,0,31,32,5,0,0,6,5,13,2,0,0,0,42,19,2.6,3.69,3.0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,2,4,1,7576,1.43,0.74,0.69,4.08,4.34,3.85
